,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
346,Barinas,100,VE,1558556689,59,8.64,-70.23,84.85,4.12
347,Te Anau,63,NZ,1558556691,97,-45.41,167.72,42.37,3.36
348,Saskylakh,52,RU,1558556692,87,71.97,114.09,29.59,8.99
349,Norman Wells,40,CA,1558556399,48,65.28,-126.83,60.8,10.29
350,Adrar,86,DZ,1558556694,14,27.87,-0.29,96.8,6.6
351,Seguela,100,CI,1558556696,89,7.96,-6.67,77.29,3.8
352,Minas Novas,4,BR,1558556698,67,-17.22,-42.59,72.79,2.98
353,Aykino,100,RU,1558556699,91,62.22,49.99,43.09,6.38
354,Atar,0,MR,1558556700,13,20.52,-13.05,91.33,8.79
355,Atikokan,99,CA,1558556702,70,48.76,-91.62,52.63,13.53
356,Faanui,34,PF,1558556703,74,-16.48,-151.75,82.15,7.47
357,Antofagasta,40,CL,1558556579,76,-23.65,-70.4,66.99,13.87
358,Tura,100,IN,1558556706,85,25.52,90.21,78.19,10.49
359,Luena,45,AO,1558556707,65,-11.78,19.91,65.41,1.1
360,Honiara,40,SB,1558556708,100,-9.43,159.96,73.4,6.2
361,Kitgum,91,UG,1558556709,92,3.3,32.88,67.75,3.2
362,Soyo,20,AO,1558556711,88,-6.13,12.37,78.8,6.93
363,Trat,100,TH,1558556712,78,12.25,102.51,89.01,2.24
364,Soe,4,EE,1558556714,93,57.91,26.05,59.0,2.24
365,Mosquera,75,CO,1558556715,68,4.71,-74.23,64.4,8.05
366,Angouleme,0,FR,1558556671,55,45.65,0.15,69.8,4.7
367,Marystown,79,CA,1558556718,71,47.17,-55.16,43.09,18.72
368,Agadez,1,NE,1558556719,20,16.97,7.99,96.8,6.93
369,Buala,83,SB,1558556721,76,-8.15,159.59,82.15,8.03
370,Pingxiang,0,CN,1558556722,81,27.63,113.85,66.85,2.19
